Authorised Novel Food,Synonyms
"(6S)-5-methyltetrahydrofolic acid, glucosamine salt","6S|-5-methyltetrahydrofolic acid, glucosamine salt|(6S)-5-methyltetrahydrofolic acid, glucosamine salt"
1-Methylnicotinamide chloride,1-Methylnicotinamide chloride
2′-Fucosyllactose,2′-Fucosyllactose
2′-Fucosyllactose/Difucosyllactose mixture (‘2′-FL/DFL’),‘2′-FL/DFL’|2′-Fucosyllactose/Difucosyllactose mixture (‘2′-FL/DFL’)|2′-Fucosyllactose/Difucosyllactose mixture
3'-Sialyllactose (3'-SL) sodium salt,3'-SL|3'-Sialyllactose (3'-SL) sodium salt|3'-Sialyllactose sodium salt
3-Fucosyllactose (‘3-FL’),3-Fucosyllactose (‘3-FL’)|‘3-FL’|3-Fucosyllactose
3′-Sialyllactose (‘3′-SL’) sodium salt,‘3′-SL’|3′-Sialyllactose sodium salt|3′-Sialyllactose (‘3′-SL’) sodium salt
6’-Sialyllactose (‘6’-SL’) sodium salt,‘6’-SL’|6’-Sialyllactose sodium salt|6’-Sialyllactose (‘6’-SL’) sodium salt
Acheta domesticus (house cricket) partially defatted powder,house cricket|Acheta domesticus partially defatted powder|Acheta domesticus (house cricket) partially defatted powder
Adansonia digitata (Baobab) dried fruit pulp,Baobab|Adansonia digitata dried fruit pulp|Adansonia digitata (Baobab) dried fruit pulp
Ajuga reptans extract from cell cultures,Ajuga reptans extract from cell cultures|Ajuga reptans extract|cell cultures
Akkermansia muciniphila (pasteurised),Akkermansia muciniphila (pasteurised)|Akkermansia muciniphila|pasteurised
Algal oil from the microalgae Ulkenia sp.,the microalgae Ulkenia sp.|Algal oil|Algal oil from the microalgae Ulkenia sp.
Allanblackia seed oil,Allanblackia seed oil
Aloe macroclada Baker leaf extract,Aloe macroclada Baker leaf extract
Antarctic Krill oil from Euphausia superba,Antarctic Krill oil from Euphausia superba
Antarctic Krill oil rich in phospholipids from Euphausia superba,Antarctic Krill oil rich in phospholipids from Euphausia superba
Antrodia camphorata mycelia powder,Antrodia camphorata mycelia powder
Apple fruit cell culture biomass,Apple fruit cell culture biomass
Aqueous ethanolic extract of Labisia pumila,Aqueous ethanolic extract of Labisia pumila
Aqueous extract of dried leaves of Ilex guayusa,Aqueous extract of dried leaves of Ilex guayusa
Aqueous extracts of dried leaves of Ilex guayusa,Aqueous extracts of dried leaves of Ilex guayusa
Arachidonic acid-rich oil from the fungus Mortierella alpina,the fungus Mortierella alpina|Arachidonic acid-rich oil from the fungus Mortierella alpina|Arachidonic acid-rich oil
Argan oil from Argania spinosa,Argan oil from Argania spinosa
Astaxanthin-rich oleoresin from Haematococcus pluvialis algae,Astaxanthin-rich oleoresin from Haematococcus pluvialis algae
Basil seeds (Ocimum basilicum),Basil seeds (Ocimum basilicum)|Basil seeds|Ocimum basilicum
Beta-glucan from Euglena gracilis microalgae,Beta-glucan from Euglena gracilis microalgae
Betaine,Betaine
Bovine lactoferrin,Bovine lactoferrin
Bovine milk basic whey protein isolate,Bovine milk basic whey protein isolate
Bovine milk beta-lactoglobulin (β-lactoglobulin),β-lactoglobulin|Bovine milk beta-lactoglobulin (β-lactoglobulin)|Bovine milk beta-lactoglobulin
Bovine milk osteopontin,Bovine milk osteopontin
Brassica napus L.,Brassica napus L.
Buglossoides arvensis seed oil,Buglossoides arvensis seed oil
Calanus finmarchicus oil,Calanus finmarchicus oil
Calcidiol monohydrate,Calcidiol monohydrate
Calcium L-Methylfolate,Calcium L-Methylfolate
Calcium fructoborate,Calcium fructoborate
Canarium indicum L. dried nuts (Kenari) (Traditional food from a third country),Canarium indicum L. dried nuts (Kenari) (Traditional food from a third country)|a third country)|Kenari|Canarium indicum L. dried nuts|Canarium indicum L. dried nuts (Kenari) (Traditional food
Cellobiose,Cellobiose
Cetylated fatty acids,Cetylated fatty acids
Chewing gum base (Methyl vinyl ether-maleic anhydride copolymer),Methyl vinyl ether-maleic anhydride copolymer|Chewing gum base (Methyl vinyl ether-maleic anhydride copolymer)|Chewing gum base
Chewing gum base (monomethoxypolyethylene glycol),Chewing gum base|Chewing gum base (monomethoxypolyethylene glycol)|monomethoxypolyethylene glycol
Chia oil from Salvia hispanica,Chia oil from Salvia hispanica
Chia seeds (Salvia hispanica),Salvia hispanica|Chia seeds|Chia seeds (Salvia hispanica)
Chitin-glucan complex from Fomes fomentarius,Chitin-glucan complex from Fomes fomentarius
Chitin-glucan from Aspergillus niger,Chitin-glucan from Aspergillus niger
Chitosan extract from fungi (Agaricus bisporus; Aspergillus niger),Chitosan extract|Chitosan extract from fungi|Chitosan extract from fungi (Agaricus bisporus; Aspergillus niger)|fungi (Agaricus bisporus; Aspergillus niger)|Agaricus bisporus; Aspergillus niger
Chondroitin sulphate,Chondroitin sulphate
Chromium Picolinate,Chromium Picolinate
Chromium-containing yeast (Yarrowia lipolytica) biomass,Chromium-containing yeast (Yarrowia lipolytica) biomass|Chromium-containing yeast biomass|Yarrowia lipolytica
Cistus incanus L. Pandalis herb,Cistus incanus L. Pandalis herb
Cistus incanus L. Pandalis herb’,Cistus incanus L. Pandalis herb’
Citicoline,Citicoline
Clostridium butyricum,Clostridium butyricum
Coffea arabica L. and/or Coffea canephora Pierre ex A.Froehner dried cherry pulp and its infusion (Traditional food from a third country),Traditional food from a third country|Coffea arabica L. and/or Coffea canephora Pierre ex A.Froehner dried cherry pulp and its infusion (Traditional food|Coffea arabica L. and/or Coffea canephora Pierre ex A.Froehner dried cherry pulp and its infusion|a third country)|Coffea arabica L. and/or Coffea canephora Pierre ex A.Froehner dried cherry pulp and its infusion (Traditional food from a third country)
Coriander seed oil from Coriandrum sativum,Coriander seed oil from Coriandrum sativum
Cranberry extract powder,Cranberry extract powder
Crataegus pinnatifida dried fruit,Crataegus pinnatifida dried fruit
D-Tagatose,D-Tagatose
D-ribose,D-ribose
Decorticated grains of Digitaria exilis (Kippist) Stapf,Kippist|Decorticated grains of Digitaria exilis (Kippist) Stapf|Decorticated grains of Digitaria exilis Stapf
Decorticated grains of Digitaria exilis (Kippist) Stapf (fonio),Kippist|Decorticated grains of Digitaria exilis (Kippist) Stapf (fonio)|Decorticated grains of Digitaria exilis Stapf
Dextran preparation produced by Leuconostoc mesenteroides,Dextran preparation produced by Leuconostoc mesenteroides
Diacylglycerol oil of plant origin,Diacylglycerol oil of plant origin
Dihydrocapsiate (DHC),Dihydrocapsiate|DHC|Dihydrocapsiate (DHC)
Dried aerial parts of Hoodia parviflora,Dried aerial parts of Hoodia parviflora
Dried extract of Lippia citriodora from cell cultures,Dried extract of Lippia citriodora from cell cultures
Dried nuts of Canarium ovatum Engl.,Dried nuts of Canarium ovatum Engl.
Dried Euglena gracilis,Dried Euglena gracilis
Dried Tenebrio molitor larva (yellow mealworm),Dried Tenebrio molitor larva (yellow mealworm)|Dried Tenebrio molitor larva|yellow mealworm
Dried Tetraselmis chuii microalgae,Dried Tetraselmis chuii microalgae
Echinacea angustifolia extract from cell cultures,Echinacea angustifolia extract|cell cultures|Echinacea angustifolia extract from cell cultures
Echinacea purpurea extract from cell cultures,Echinacea purpurea extract from cell cultures|Echinacea purpurea extract|cell cultures
Echium plantagineum oil,Echium plantagineum oil
Ecklonia cava phlorotannins,Ecklonia cava phlorotannins
Egg membrane hydrolysate,Egg membrane hydrolysate
Epigallocatechin gallate as a purified extract from green tea leaves (Camellia sinensis),Epigallocatechin gallate as a purified extract|Epigallocatechin gallate as a purified extract from green tea leaves|Camellia sinensis|green tea leaves (Camellia sinensis)|Epigallocatechin gallate as a purified extract from green tea leaves (Camellia sinensis)
Extract from Panax notoginseng and Astragalus membranaceus,Extract from Panax notoginseng and Astragalus membranaceus
Extract of defatted cocoa powder,Extract of defatted cocoa powder
"Extract of three herbal roots (Cynanchum wilfordii Hemsley, Phlomis umbrosa Turcz. and Angelica gigas Nakai)","Extract of three herbal roots|Extract of three herbal roots (Cynanchum wilfordii Hemsley, Phlomis umbrosa Turcz. and Angelica gigas Nakai)|Cynanchum wilfordii Hemsley, Phlomis umbrosa Turcz. and Angelica gigas Nakai"
Fermented black bean extract,Fermented black bean extract
Fermented soybean extract,Fermented soybean extract
Ferric Sodium EDTA,Ferric Sodium EDTA
Ferrous ammonium phosphate,Ferrous ammonium phosphate
Fish peptides from Sardinops sagax,Fish peptides from Sardinops sagax
Flavonoids from Glycyrrhiza glabra,Flavonoids from Glycyrrhiza glabra
"Frozen, dried and powder forms of yellow mealworm (Tenebrio molitor larva)","Frozen, dried and powder forms of yellow mealworm (Tenebrio molitor larva)|Tenebrio molitor larva|Frozen, dried and powder forms of yellow mealworm"
"Frozen, dried and powder forms of Acheta domesticus (house cricket)","house cricket|Frozen, dried and powder forms of Acheta domesticus|Frozen, dried and powder forms of Acheta domesticus (house cricket)"
"Frozen, dried and powder forms of Locusta migratoria (migratory locust)","Frozen, dried and powder forms of Locusta migratoria|migratory locust|Frozen, dried and powder forms of Locusta migratoria (migratory locust)"
"Frozen, paste, dried and powder forms of Alphitobius diaperinus larvae (lesser mealworm)","lesser mealworm|Frozen, paste, dried and powder forms of Alphitobius diaperinus larvae|Frozen, paste, dried and powder forms of Alphitobius diaperinus larvae (lesser mealworm)"
"Fruit pulp, pulp juice, concentrated pulp juice from Theobroma cacao L.","Fruit pulp, pulp juice, concentrated pulp juice from Theobroma cacao L."
Fucoidan extract from the seaweed Fucus vesiculosus,Fucoidan extract|Fucoidan extract from the seaweed Fucus vesiculosus|the seaweed Fucus vesiculosus
Fucoidan extract from the seaweed Undaria pinnatifida,Fucoidan extract from the seaweed Undaria pinnatifida|Fucoidan extract|the seaweed Undaria pinnatifida
Galacto-oligosaccharide,Galacto-oligosaccharide
Glucosamine HCl,Glucosamine HCl
Glucosamine sulphate KCl,Glucosamine sulphate KCl
Glucosamine sulphate NaCl,Glucosamine sulphate NaCl
Glucosyl hesperidin,Glucosyl hesperidin
Guar Gum,Guar Gum
Heat-treated milk products fermented with Bacteroides xylanisolvens,Heat-treated milk products fermented with Bacteroides xylanisolvens
Heat-treated Lemna minor and Lemna gibba,Heat-treated Lemna minor and Lemna gibba
Hen egg white lysozyme hydrolysate,Hen egg white lysozyme hydrolysate
Hydroxytyrosol,Hydroxytyrosol
Ice Structuring Protein type III HPLC 12,Ice Structuring Protein type III HPLC 12
Infusion from coffee leaves of Coffea arabica L. and/or Coffea canephora Pierre ex A. Froehner,Infusion|Infusion from coffee leaves of Coffea arabica L. and/or Coffea canephora Pierre ex A. Froehner|coffee leaves of Coffea arabica L. and/or Coffea canephora Pierre ex A. Froehner
Iron hydroxide adipate tartrate,Iron hydroxide adipate tartrate
Iron milk caseinate,Iron milk caseinate
Isomalto-oligosaccharide,Isomalto-oligosaccharide
Isomaltulose,Isomaltulose
Isomaltulose powder,Isomaltulose powder
Jatropha curcas L. (edible variety) kernels,Jatropha curcas L. (edible variety) kernels|edible variety|Jatropha curcas L. kernels
Juice of the stems of the Angelica keiskei plant (‘Ashitaba stem juice’),‘Ashitaba stem juice’|Juice of the stems of the Angelica keiskei plant (‘Ashitaba stem juice’)|Juice of the stems of the Angelica keiskei plant
L-Alanyl-L-Glutamine,L-Alanyl-L-Glutamine
L-ergothioneine,L-ergothioneine
Lactitol,Lactitol
Lacto-N-fucopentaose I and 2'-Fucosyllactose (‘LNFP-I and 2'-FL’) mixture (produced using a derivative strain of E. coli K-12 DH1),Lacto-N-fucopentaose I and 2'-Fucosyllactose (‘LNFP-I and 2'-FL’) mixture (produced using a derivative strain of E. coli K-12 DH1)|Lacto-N-fucopentaose I and 2'-Fucosyllactose mixture|‘LNFP-I and 2'-FL’
Lacto-N-neotetraose,Lacto-N-neotetraose
Lacto-N-tetraose (‘LNT’),Lacto-N-tetraose (‘LNT’)|Lacto-N-tetraose|‘LNT’
Lonicera caerulea L. berries (haskap),haskap|Lonicera caerulea L. berries (haskap)|Lonicera caerulea L. berries
Low fat cocoa extract,Low fat cocoa extract
Lucerne leaf extract from Medicago sativa,Lucerne leaf extract from Medicago sativa
Lycopene,Lycopene
Lycopene oleoresin from tomatoes,Lycopene oleoresin from tomatoes|Lycopene oleoresin|tomatoes
Magnesium L-threonate,Magnesium L-threonate
Magnesium citrate malate,Magnesium citrate malate
Magnolia Bark Extract,Magnolia Bark Extract
Maize-germ oil high in unsaponifiable matter,Maize-germ oil high in unsaponifiable matter
Methylcellulose,Methylcellulose
Monomethylsilanetriol (Organic Silicon),Organic Silicon|Monomethylsilanetriol (Organic Silicon)|Monomethylsilanetriol
Monosodium salt of L-5-methyltetrahydrofolic acid,Monosodium salt of L-5-methyltetrahydrofolic acid
Mung bean (Vigna radiata) protein,Mung bean (Vigna radiata) protein|Vigna radiata|Mung bean protein
Mycelial extract from Shiitake mushroom (Lentinula edodes),Mycelial extract from Shiitake mushroom (Lentinula edodes)|Lentinula edodes|Shiitake mushroom (Lentinula edodes)|Mycelial extract from Shiitake mushroom|Mycelial extract
N-Acetyl-D-neuraminic acid,N-Acetyl-D-neuraminic acid
Nicotinamide riboside chloride,Nicotinamide riboside chloride
Noni fruit juice (Morinda citrifolia),Morinda citrifolia|Noni fruit juice (Morinda citrifolia)|Noni fruit juice
Noni fruit juice powder (Morinda citrifolia),Noni fruit juice powder (Morinda citrifolia)|Noni fruit juice powder|Morinda citrifolia
Noni fruit powder (Morinda citrifolia),Noni fruit powder (Morinda citrifolia)|Noni fruit powder|Morinda citrifolia
Noni fruit puree and concentrate (Morinda citrifolia),Morinda citrifolia|Noni fruit puree and concentrate|Noni fruit puree and concentrate (Morinda citrifolia)
Noni leaves (Morinda citrifolia),Morinda citrifolia|Noni leaves (Morinda citrifolia)|Noni leaves
Novel Food,Novel Food
Odontella aurita microalgae,Odontella aurita microalgae
Oil enriched with phytosterols/phytostanols,Oil enriched with phytosterols/phytostanols
Oil extracted from squids,Oil extracted from squids|Oil extracted|squids
Partially defatted chia seed (Salvia hispanica) powders,Salvia hispanica|Partially defatted chia seed powders|Partially defatted chia seed (Salvia hispanica) powders
Partially defatted chia seed (Salvia hispanica L.) powders,Partially defatted chia seed powders|Partially defatted chia seed (Salvia hispanica L.) powders|Salvia hispanica L.
Partially defatted rapeseed powder from Brassica rapa L. and,Partially defatted rapeseed powder from Brassica rapa L. and
Partially hydrolysed protein from spent barley (Hordeum vulgare) and rice (Oryza sativa),Partially hydrolysed protein|Hordeum vulgare|Partially hydrolysed protein from spent barley (Hordeum vulgare) and rice (Oryza sativa)|Partially hydrolysed protein from spent barley and rice|spent barley (Hordeum vulgare) and rice (Oryza sativa)
Pasteurised fruit-based preparations produced using high-pressure treatment,Pasteurised fruit-based preparations produced using high-pressure treatment
Pea and rice protein fermented by Lentinula edodes (Shiitake mushroom) mycelia,Pea and rice protein fermented by Lentinula edodes mycelia|Pea and rice protein fermented by Lentinula edodes (Shiitake mushroom) mycelia|Shiitake mushroom
Phenylcapsaicin,Phenylcapsaicin
Phosphated maize starch,Phosphated maize starch
Phosphated wheat starch,Phosphated wheat starch
Phosphatidylserine from fish phospholipids,fish phospholipids|Phosphatidylserine|Phosphatidylserine from fish phospholipids
Phosphatidylserine from soya phospholipids,Phosphatidylserine|soya phospholipids|Phosphatidylserine from soya phospholipids
Phospholipid product containing equal amounts of phosphatidylserine and phosphatidic acid,Phospholipid product containing equal amounts of phosphatidylserine and phosphatidic acid
Phospholipides from egg yolk,Phospholipides|egg yolk|Phospholipides from egg yolk
Phytoglycogen,Phytoglycogen
Phytosterols/phytostanols,Phytosterols/phytostanols
Plum kernel oil,Plum kernel oil
Potato proteins (coagulated) and hydrolysates thereof,Potato proteins (coagulated) and hydrolysates thereof|Potato proteins and hydrolysates thereof|coagulated
Prolyl oligopeptidase (enzyme preparation),enzyme preparation|Prolyl oligopeptidase (enzyme preparation)|Prolyl oligopeptidase
Protein concentrate from Lemna gibba and Lemna minor,Protein concentrate from Lemna gibba and Lemna minor
Protein extract from pig kidneys,pig kidneys|Protein extract from pig kidneys|Protein extract
Pyrroloquinoline quinone disodium salt,Pyrroloquinoline quinone disodium salt
Rapeseed Protein,Rapeseed Protein
Rapeseed oil high in unsaponifiable matter,Rapeseed oil high in unsaponifiable matter
Refined shrimp peptide concentrate,Refined shrimp peptide concentrate
Roasted and popped kernels from the seeds of Euryale ferox Salisb. (makhana) (Traditional food from a third country),makhana|Roasted and popped kernels from the seeds of Euryale ferox Salisb.|Roasted and popped kernels from the seeds of Euryale ferox Salisb. (makhana) (Traditional food from a third country)|the seeds of Euryale ferox Salisb. (makhana) (Traditional food from a third country)|Roasted and popped kernels
Rooster comb extract,Rooster comb extract
Sacha inchi oil from Plukenetia volubilis,Sacha inchi oil from Plukenetia volubilis
Salatrims,Salatrims
Schizochytrium limacinum (TKD-1) oil,TKD-1|Schizochytrium limacinum oil|Schizochytrium limacinum (TKD-1) oil
Schizochytrium sp. (ATCC PTA-9695) oil,ATCC PTA-9695|Schizochytrium sp. (ATCC PTA-9695) oil|Schizochytrium sp. oil
Schizochytrium sp. (CABIO-A-2) oil,Schizochytrium sp. (CABIO-A-2) oil|CABIO-A-2|Schizochytrium sp. oil
Schizochytrium sp. (FCC-3204) oil,FCC-3204|Schizochytrium sp. (FCC-3204) oil|Schizochytrium sp. oil
Schizochytrium sp. (T18) oil,Schizochytrium sp. (T18) oil|T18|Schizochytrium sp. oil
Schizochytrium sp. (WZU477) oil,Schizochytrium sp. (WZU477) oil|WZU477|Schizochytrium sp. oil
Schizochytrium sp. oil,Schizochytrium sp. oil
Schizochytrium sp. oil rich in DHA and EPA,Schizochytrium sp. oil rich in DHA and EPA
Seeds and seed flour of Vigna subterranea (L.) Verdc. (traditional food from a third country),Seeds and seed flour of Vigna subterranea (L.) Verdc. (traditional food from a third country)|Seeds and seed flour of Vigna subterranea (L.) Verdc. (traditional food|L.|Seeds and seed flour of Vigna subterranea Verdc.|a third country)
Selenium-containing yeast (Yarrowia lipolytica) biomass,Yarrowia lipolytica|Selenium-containing yeast biomass|Selenium-containing yeast (Yarrowia lipolytica) biomass
Spermidine-rich wheat germ extract (Triticum aestivum),Triticum aestivum|Spermidine-rich wheat germ extract (Triticum aestivum)|Spermidine-rich wheat germ extract
Sucromalt,Sucromalt
Sugar cane fibre,Sugar cane fibre
Sugars obtained from cocoa (Theobroma cacao L.) pulp,Theobroma cacao L.|Sugars obtained from cocoa pulp|Sugars obtained|Sugars obtained from cocoa (Theobroma cacao L.) pulp|cocoa (Theobroma cacao L.) pulp
Sunflower oil extract,Sunflower oil extract
Synsepalum dulcificum dried fruits,Synsepalum dulcificum dried fruits
Syrup from Sorghum bicolor (L.) Moench.,L.|Syrup from Sorghum bicolor (L.) Moench.|Syrup from Sorghum bicolor Moench.
Taxifolin-rich extract,Taxifolin-rich extract
Tetrahydrocurcuminoids,Tetrahydrocurcuminoids
Therapon barcoo/Scortum,Therapon barcoo/Scortum
Trans-resveratrol,Trans-resveratrol
Trehalose,Trehalose
UV-treated baker’s yeast (Saccharomyces cerevisiae),UV-treated baker’s yeast (Saccharomyces cerevisiae)|UV-treated baker’s yeast|Saccharomyces cerevisiae
UV-treated bread,UV-treated bread
UV-treated milk,UV-treated milk
UV-treated mushrooms (Agaricus bisporus),UV-treated mushrooms (Agaricus bisporus)|UV-treated mushrooms|Agaricus bisporus
UV-treated powder of whole Tenebrio molitor larvae (yellow mealworm),UV-treated powder of whole Tenebrio molitor larvae (yellow mealworm)|UV-treated powder of whole Tenebrio molitor larvae|yellow mealworm
Vitamin D2 mushroom powder,Vitamin D2 mushroom powder
Vitamin K2 (menaquinone),Vitamin K2 (menaquinone)|Vitamin K2|menaquinone
Wheat bran extract,Wheat bran extract
Wolffia arrhiza and/or Wolffia globosa fresh plants (Traditional food from a third country),Wolffia arrhiza and/or Wolffia globosa fresh plants (Traditional food|Traditional food from a third country|a third country)|Wolffia arrhiza and/or Wolffia globosa fresh plants (Traditional food from a third country)|Wolffia arrhiza and/or Wolffia globosa fresh plants
Xylo-oligosaccharides,Xylo-oligosaccharides
Yarrowia lipolytica yeast biomass,Yarrowia lipolytica yeast biomass
Yeast beta-glucans,Yeast beta-glucans
Zeaxanthin,Zeaxanthin
Zinc L-pidolate,Zinc L-pidolate
α-cyclodextrin,α-cyclodextrin
γ-cyclodextrin,γ-cyclodextrin
